EntanglementId,EGNo,EventNo,StartDate,EndDate,EntanglementComment,CreatedBy,CreatedDate,EditedBy,EditedDate,ChangeStamp
1,1004,1,7/10/1980,6/20/1987,"Adult female; > 3 year timeframe; MODERATE
",aknowlton,2/2/2007,aknowlton,11/7/2011,
2,3445,1,1/1/1900,8/7/2004,"Calf, female; < 1 year timeframe; MINOR",aknowlton,2/2/2007,aknowlton,10/16/2007,
3,3351,1,1/1/1900,8/12/2003,"Calf, male; < 1 year timeframe; MINOR",aknowlton,2/2/2007,aknowlton,2/7/2008,
4,3350,1,9/18/2003,8/29/2004,1 year old male; < 1 year timeframe; MINOR,aknowlton,2/2/2007,aknowlton,10/16/2007,
5,3346,1,1/30/2004,3/17/2004,1 year old male; < 2 month timeframe. GEAR - may have been picked up in Maine so did RT from SE to ME and return; SEVERE,aknowlton,2/2/2007,aknowlton,2/6/2008,
7,1039,1,3/21/1996,8/16/1997,17 year old female; < 2 year timeframe; MINOR,aknowlton,2/2/2007,aknowlton,10/19/2007,
8,1032,1,10/11/1986,9/11/1987,Unknown age male; < 1 year time frame; MINOR,aknowlton,2/2/2007,aknowlton,8/20/2007,
9,1032,2,8/3/1998,7/19/1999,Adult male; < 1 year timeframe; MINOR,aknowlton,2/2/2007,aknowlton,10/23/2009,
10,1032,3,9/18/2003,9/2/2004,Adult male; < 1 year timeframe; MINOR,aknowlton,2/2/2007,aknowlton,8/20/2007,
11,1019,1,10/13/1985,10/2/1987,Unknown age male; < 2 year time frame; MINOR,aknowlton,2/2/2007,aknowlton,10/19/2007,
12,1019,2,10/2/1987,3/3/1995,Adult male; > 3 year time frame; MODERATE,aknowlton,2/2/2007,Cborutskie,5/23/2011,
13,1013,1,1/1/1900,3/15/1996,Adult female; unknown timeframe; MINOR,aknowlton,2/2/2007,aknowlton,2/18/2010,
14,1012,1,1/1/1900,10/20/1978,Unknown age female; unknown timeframe; MINOR,aknowlton,2/2/2007,aknowlton,1/15/2009,
16,3302,1,9/7/2003,3/6/2004,1 year old male; < 6 month timeframe; MODERATE,aknowlton,2/9/2007,Cborutskie,5/24/2011,
17,1036,1,1/1/1900,8/19/1982,"Adult, male; unknown timeframe; MODERATE",aknowlton,2/9/2007,aknowlton,10/9/2015,
