EGNo,CalvingYear,CalfNo,CalvingInterval
1001,1979,1006,
1001,1983,1301,4
1001,1986,1603,3
1001,1989,1911,3
1001,1992,2201,3
1002,1973,1973CalfOf1002,
1004,1980,1980CalfOf1004,
1004,1987,1707,7
1004,1990,2004,3
1004,1994,2404,4
1004,1997,2710,3
1007,1977,1118,
1007,1982,1982CalfOf1007,5
1007,1986,1609,4
1012,1983,1308,
1012,1986,1605,3
1012,1991,1991CalfOf1012,5
1012,1996,1996CalfOf1012,5
1012,2001,2001CalfOf1012,5
1012,2005,3512,4
1012,2009,3912,4
1012,2017,2017CalfOf1012,8
1013,1980,1980CalfOf1013,
1013,1985,1985CalfOf1013,5
1013,1989,1989CalfOf1013,4
1013,1994,2413,5
1013,1997,2713,3
1013,2005,3590,8
1014,1977,1977CalfOf1014,
1014,1980,1153,3
1014,1983,1302,3
1014,1988,1802,5
1014,1991,2130,3
1014,1997,1997CalfOf1014,6
1025,1980,1026,
1034,1986,1611,
1034,1989,1934,3
1039,2001,3139,
1039,2005,2005CalfOf1039,4
1045,1935,1935CalfOf1045,
1046,1976,1976CalfOf1046,
1114,1990,2014,
1114,1996,2614,6
1118,1984,1408,
1118,1987,1702,3
1118,1990,2018,3
1118,1997,1997CalfOf1118,7
1123,1991,2123,
1123,2001,3123,10
1123,2004,3423,3
1123,2008,3823,4
1123,2011,4123,3
1127,1976,1976CalfOf1127,
1127,1981,1128,5
1127,1984,1404,3
1127,1987,1709,3
1127,1990,2027,3
1127,1994,2427,4
1135,1967,1967CalfOf1135,
1135,1974,1974CalfOf1135,7
1135,1981,1163,7
1135,1984,1406,3
1135,1987,1706,3
1135,1991,2135,4
1135,1996,2635,5
1140,1982,1245,
1140,1987,1704,5
1140,1990,2040,3
1140,1994,2440,4
1140,2001,3140,7
1140,2005,3540,4
1140,2013,4340,8
1142,1977,1977CalfOf1142,
1142,1981,1123,4
1142,1984,1411,3
1142,1990,2042,6
1142,1996,2642,6
1142,2001,3142,5
1142,2004,3442,3
1142,2009,3942,5
1145,1981,1138,
1145,1984,1410,3
1145,1991,2145,7
1145,1996,1996CalfOf1145,5
1145,2002,3245,6
1145,2005,3550,3
1145,2010,4094,5
1151,1987,1705,
1151,1991,2151,4
1151,2001,3151,10
1151,2003,3351,2
1151,2006,3651,3
1151,2009,3951,3
1153,1993,1993CalfOf1153,
1153,1997,2753,4
1157,1981,1134,
1157,1984,1402,3
1157,1987,1703,3
1157,1990,2057,3
1157,1995,2557,5
1157,2001,3157,6
1158,1991,2158,
1160,1981,1161,
1160,1984,1409,3
1160,1988,1804,4
1160,1991,1991CalfOf1160,3
1160,1996,2660,5
1160,2001,3160,5
1163,1986,1608,
1163,1991,2163,5
1168,1984,1427,
1168,1989,1968,5
1168,1992,1992CalfOf1168,3
1171,1981,1170,
1171,1984,1405,3
1171,1989,1971,5
1171,1992,2271,3
1175,1981,1239,
1179,1994,2479,
1179,2002,3279,8
1179,2005,3579,3
1201,1982,1429,
1201,1985,1508,3
1201,1989,1901,4
1201,1993,2301,4
1204,1988,1807,
1204,1991,1991CalfOf1204,3
1204,1995,1995CalfOf1204,4
1204,1999,2904,4
1204,2002,2002CalfOf1204,3
1204,2005,3504,3
1204,2009,3904,4
1204,2013,2013CalfOf1204,4
1208,1985,1985CalfOf1208,
1208,1991,1991CalfOf1208,6
1208,1996,2640,5
1208,2003,3340,7
1208,2008,3850,5
1208,2012,2012CalfOf1208,4
1219,1987,1701,
1222,1982,1250,
1222,1985,1505,3
1223,1992,2223,
1233,1989,1933,
1233,1992,2233,3
1233,1998,1998CalfOf1233,6
1233,2003,3333,5
1233,2009,2009CalfOf1233,6
1233,2016,2016CalfOf1233,7
