EntanglementId,EGNo,EventNo,StartDate,EndDate,EntanglementComment
39,1006,1,01/12/1978,14/08/1981,2 year old female; < 3 year timeframe; MINOR
32,1123,1,01/12/1980,20/08/1981,"Calf, female; < 1 year timeframe; MINOR
"
79,1138,1,01/12/1980,26/08/1981,"Calf, male; < 1 year timeframe; MINOR"
114,1153,1,01/12/1979,05/08/1980,"Calf, female; < 1 year timeframe; MINOR"
128,1161,1,01/12/1980,31/07/1983,2 year old male; < 3 year timeframe; MODERATE
121,1170,1,01/12/1980,31/07/1983,2 year old male; < 3 year timeframe; MINOR
151,1239,1,01/12/1981,11/08/1982,1 year old male; < 2 year timeframe; MINOR
155,1245,1,01/12/1981,02/08/1982,Calf female; < 1 year timeframe; MINOR
170,1267,1,01/12/1981,11/08/1983,1 year old female; < 2 year timeframe; MINOR
191,1311,1,01/12/1982,10/03/1985,2 year old male; < 3 year timeframe; MODERATE
195,1317,1,01/12/1982,02/02/1984,1 year old male; < 2 year timeframe; MINOR
215,1404,1,01/12/1983,17/08/1984,"Calf, male; < 1 year timeframe; MINOR"
216,1405,1,01/12/1983,01/09/1988,4 year old female; unknown timeframe; MINOR
239,1426,1,01/12/1983,31/07/1985,1 year old female; < 2 year timeframe; MODERATE
241,1427,1,01/12/1983,29/08/1989,5 year old male; unknown timeframe; MINOR
245,1429,1,01/12/1983,19/08/1988,6 year old male; unknown timeframe; MINOR
249,1503,1,01/12/1984,09/09/1990,5 year old female; unknown timeframe; MINOR
251,1505,1,01/12/1984,04/07/1988,3 year old male; unknown timeframe; MINOR
287,1607,1,01/12/1985,21/09/1986,"Calf, male; < 1 year timeframe; MINOR"
292,1609,1,01/12/1985,11/10/1986,"Calf, male; < 1 year timeframe; MINOR"
295,1610,1,01/12/1985,30/07/1986,"Calf, male; < 1 year timeframe; MINOR"
327,1701,1,01/12/1986,12/08/1988,1 year old female; < 2 year timeframe; MINOR
347,1709,1,01/12/1986,27/08/1993,6 year old male; unknown timeframe; MINOR
480,1802,1,01/12/1987,23/03/1989,1 year old female; < 2 year timeframe; MINOR
481,1803,1,01/12/1987,12/08/1991,3 year old male; unknown timeframe; MINOR
358,1804,1,01/12/1987,12/05/1988,"Calf, male; < 1 year timeframe; MINOR"
501,1903,1,01/12/1988,01/09/1990,1 year old male; < 2 year timeframe; MINOR
365,1909,1,01/12/1988,28/07/1989,"Calf, female; < 1 year timeframe; MINOR"
506,1920,1,01/12/1988,15/08/1990,1 year old male; < 2 year timeframe; MINOR
370,1931,1,01/12/1988,18/08/1989,"Calf, female; < 1 year timeframe; MINOR"
512,1941,1,01/12/1988,16/08/1990,1 year old female; < 2 year timeframe; MODERATE
517,1981,1,01/12/1988,15/08/1990,"1 year old, male; < 2 year timeframe; MINOR"
380,2018,1,01/12/1989,15/08/1990,"Calf, male; < 1 year timeframe; MINOR"
384,2027,1,01/12/1989,15/08/1990,"Calf, male; < 1 year timeframe; MINOR"
388,2029,1,01/12/1989,15/08/1990,"Calf, female; < 1 year timeframe; MINOR"
396,2048,1,01/12/1989,15/08/1990,"Calf, male; < 1 year timeframe; MINOR"
399,2057,1,01/12/1989,16/08/1990,"Calf, male; < 1 year timeframe; MINOR"
622,2110,1,01/12/1990,13/09/1992,1 year old male; < 2 year timeframe; MINOR
617,2135,1,01/12/1990,21/08/1992,1 year old male; < 2 year timeframe; MINOR
616,2140,1,01/12/1990,15/08/1992,1 year old male; < 2 year timeframe; MINOR
415,2145,1,01/12/1990,26/03/1991,"Calf, female; < 6 month timeframe; MINOR"
611,2209,1,01/12/1991,26/03/1993,1 year old male; < 2 year timeframe; MINOR
424,2212,1,01/12/1991,08/08/1992,"Calf, male; < 1 year timeframe; MINOR"
427,2223,1,01/12/1991,07/08/1992,"Calf, female; < 1 year timeframe; MINOR"
602,2301,1,01/12/1992,13/09/1994,1 year old female; < 2 year timeframe; MINOR
588,2406,1,01/12/1993,23/03/1994,"Calf, male; < 6 month timeframe; MINOR"
583,2425,1,01/12/1993,16/08/1994,"Calf, female; < 1 year timeframe; MINOR"
535,2503,1,01/12/1994,06/07/1996,1 year old female; < 2 year timeframe; MINOR
539,2541,1,01/12/1994,12/07/1997,2 year old male; < 3 year timeframe; MINOR
576,2605,1,01/12/1995,19/07/1997,1 year old female; < 2 year timeframe; MINOR
558,2611,1,01/12/1995,03/08/1997,1 year old female; < 2 year timeframe; MINOR
712,2614,1,01/12/1995,11/09/1997,1 year old female; < 2 year timeframe; MINOR
556,2617,1,01/12/1995,16/06/1996,"Calf, female; < 9 month timeframe; MINOR"
554,2645,1,01/12/1995,01/08/1997,1 year old female; < 2 year timeframe; MINOR
