EGNo,EventNo,Date.prior.w.no.gear,First.date.w.gear,Last.date.w.gear,line.gone ,min.time.carrying.gear,max.dur,AmyEdits
1102,1,06-Aug-98,08-Jun-01,16-Sep-01,,100,1136,
1113,2,05-Sep-86,25-Sep-87,13-Sep-89,28-Aug-91,719,1816,
1130,2,19-Aug-99,01-Mar-00,01-Mar-00,,1,194,
1140,,08-May-07,06-Mar-08,01-May-10,04-May-10,786,1090,
1151,,28-Aug-09,03-Sep-09,04-Sep-09,,1,6,changed 11/17/15 from 7 to 6
1152,1,02-Jan-00,27-Aug-81,21-Sep-89,22-Aug-90,2947,NA,
1158,4,03-Mar-99,19-May-99,27-Sep-99,27-Sep-99,131,206,
1163,2,19-Jun-86,29-Aug-86,13-Oct-90,12-Feb-91,1506,1697,
1167,4,20-Aug-99,27-Mar-00,26-Sep-02,27-Feb-07,913,2746,2/5/16 - added in max duration
1167,5,02-Nov-04,08-Jun-05,,27-Feb-07,1,267,2/5/16 - changed line gone date from 7/29/05 to 2/27/07
1238,2,25-Jun-01,25-Oct-01,25-Oct-01,,1,121,
1247,2,25-Sep-92,21-Sep-94,17-Aug-95,,330,1055,
1249,,21-Apr-08,07-May-08,07-May-08,21-Oct-08,1,181,this is the correct record
1249,,21-Apr-08,07-May-08,,12-Oct-08,1,174,
1306,1,01-May-83,15-May-83,,15-Sep-83,1,135,
1308,1,30-Sep-83,06-Sep-84,,07-Oct-84,1,371,
1403,2,24-May-06,17-Sep-06,,07-Apr-07,1,316,
1406,1,09-Mar-85,02-May-85,02-May-85,02-May-85,1,52,
1411,1,13-Oct-84,15-May-86,28-Aug-89,22-Sep-90,1201,2168,
1424,2,17-Sep-01,12-Feb-02,25-Mar-07,,1867,2014,
1427,4,08-May-02,12-Jul-02,21-Jul-02,07-Sep-03,9,485,
1430,3,01-Aug-02,20-May-03,07-Jun-03,,18,309,
1505,5,24-Feb-97,12-Apr-97,,02-Aug-97,1,177,ON 2/5/16 CHANGED DATE PRIOR FROM 2/4/97 TO 2/24/97
1506,1,25-Aug-94,02-Aug-95,10-Aug-95,14-Aug-95,8,352,
1705,3,27-Sep-96,01-Jul-97,06-Sep-97,12-May-99,67,955,
1707,2,03-Oct-95,06-Jan-96,16-Jan-96,06-Aug-96,10,306,
1720,2,23-Aug-95,31-May-00,20-Jun-00,12-May-01,20,2087,changed date prior w/no gear on 3/29/16
1815,3,20-Sep-01,22-Aug-02,22-Aug-02,,1,335,
1907,1,15-Oct-89,16-Aug-90,12-Mar-91,,208,512,
1971,1,20-Aug-96,24-Jun-97,16-Jul-97,23-Jul-97,22,335,
1980,,07-Jun-07,03-Feb-08,16-Apr-08,19-Apr-11,73,1410,changed max duration
1980,,07-Jun-07,03-Feb-08,16-Apr-08,,73,313,duplicate record
2027,3,26-Aug-97,12-Sep-97,12-Sep-97,04-Jan-98,1,129,added line gone date
2029,,28-Sep-06,09-Mar-07,18-Sep-07,30-May-08,193,610,
2030,4,11-Sep-97,10-May-99,20-Oct-99,,163,768,
2040,3,03-Jul-02,24-Aug-02,24-Aug-02,17-Sep-02,1,74,
2110,2,08-Sep-95,16-Sep-95,16-Sep-95,08-Jul-97,1,667,2/5/16 - I added the known line gone and recalculated max
2151,1,09-Aug-94,17-Nov-94,17-Nov-94,,1,99,
2212,3,16-Aug-96,23-Aug-97,24-Jul-98,24-Jul-98,335,705,
2212,4,20-Aug-98,12-Sep-98,14-Sep-98,,1,24,
2212,5,12-Sep-98,14-Sep-98,14-Sep-98,,1,1,
2220,2,03-Oct-95,09-Mar-96,09-Mar-96,,1,157,2/5/16 - changed this to reflect what actually known from photos. 
2223,6,07-Apr-00,25-Jul-00,04-May-01,08-Jun-01,283,425,changed date slightly
2233,1,26-Sep-92,09-Jul-93,07-Aug-93,07-Aug-93,29,314,
2240,4,01-Sep-02,14-Jan-03,,15-May-03,1,254,
2301,3,18-Sep-03,06-Sep-04,03-Mar-05,,178,531,
2320,2,15-Feb-93,24-Aug-94,08-Sep-95,,380,934,
2320,3,02-Aug-02,04-Aug-02,24-Sep-04,04-Jan-05,782,884,
2366,1,22-Aug-93,21-Dec-93,17-Jul-95,,573,693,
2427,4,17-Mar-01,20-Jul-01,28-Jul-01,16-Oct-01,8,123,changed to reflect date of disentanglement (only small bit of gear left after that)
2470,,24-Jan-10,12-May-10,,12-May-10,1,106,
2557,1,08-Feb-96,29-Aug-97,19-Sep-97,,21,588,
2645,,17-Sep-07,12-Jan-08,30-May-08,13-Nov-08,139,421,
2701,2,12-Sep-99,19-Jan-00,19-Jan-00,,1,128,
2710,2,19-Jun-99,21-Jul-99,20-Sep-99,14-Jul-00,61,92,changed based on date telemetry buoy came off
2746,2,14-Sep-99,12-Jul-00,15-Jul-00,20-Jul-00,3,308,
2753,2,03-Sep-98,05-Jun-99,05-Jun-99,21-Jun-99,1,274,used disentanglement date
3040,1,24-Jul-00,13-Sep-01,20-Jun-02,19-Sep-03,280,1028,2/5/16 - added line gone date and changed max duration
3107,1,08-Dec-01,06-Jul-02,01-Sep-02,02-Sep-02,57,266,
3120,1,23-Dec-01,07-Apr-02,24-Jun-03,12-Mar-04,443,808,not sure if these #'s changed from what you sent
3210,1,02-Jan-00,28-Aug-02,24-Aug-05,,1092,NA,date prior should be blank as it was first seen entangled
3260,,11-Apr-07,08-May-07,25-Jun-07,22-Oct-07,48,192,
3294,,14-Apr-08,08-Dec-08,18-Dec-08,01-Feb-09,10,247,changed to date when telemetry buoy came off
3311,,21-Apr-08,14-Jan-09,06-Mar-09,,51,318,
3314,1,24-Sep-04,21-Dec-04,30-Dec-04,31-Dec-04,9,96,
3333,,14-Sep-07,29-Jan-08,02-Feb-08,07-May-08,4,234,
3346,1,30-Jan-04,17-Mar-04,09-Mar-10,,2183,2229,most gear removed on 3/19/04 leaving wraps around flipper for many years
3392,,U,09-Jul-03,09-Jul-03,09-Jul-03,1,NA,
3420,,13-Sep-08,31-Jan-09,12-Feb-09,28-Aug-09,12,347,
3445,2,19-Aug-05,03-Dec-05,12-Dec-05,13-Jun-06,9,296,
3610,1,15-Feb-06,27-Sep-06,24-Jan-07,26-Apr-07,119,433,
3701,,25-Sep-08,26-Dec-08,27-Dec-08,04-Jan-09,2,99,
3714,,05-Jan-09,07-Feb-09,12-Feb-09,10-Mar-09,5,62,
3821,,10-Jul-09,26-Sep-09,,26-Sep-09,1,76,
3850,,18-Feb-09,26-Nov-09,,13-Jan-10,1,327,
1124,,05-Jan-10,27-Jun-10,27-Jun-10,,1,172,THESE HAVE ALL BEEN ADDED - April 2016
1131,,22-May-10,29-Jun-14,29-Jun-14,,1,1498,THESE HAVE ALL BEEN ADDED - April 2016
1142,,08-Apr-11,01-Apr-14,01-Apr-14,,1,1088,THESE HAVE ALL BEEN ADDED - April 2016
1311,,21-Apr-13,11-Aug-13,11-Aug-13,,1,111,THESE HAVE ALL BEEN ADDED - April 2016
1503,,12-Apr-10,10-Sep-10,10-Sep-10,,1,150,THESE HAVE ALL BEEN ADDED - April 2016
1719,,22-Apr-11,19-Jan-12,21-Jan-12,18-Mar-13,2,694,THESE HAVE ALL BEEN ADDED - April 2016
3010,,31-Dec-10,19-Jan-11,30-Jan-11,22-Apr-11,11,110,THESE HAVE ALL BEEN ADDED - April 2016
3111,,31-May-11,27-Sep-11,,04-Mar-12,1,276,THESE HAVE ALL BEEN ADDED - April 2016
3120,,19-Oct-10,20-Oct-10,17-Jan-11,23-Mar-11,89,153,THESE HAVE ALL BEEN ADDED - April 2016
3123,,20-Apr-10,29-Apr-11,18-Sep-11,20-Mar-12,142,698,THESE HAVE ALL BEEN ADDED - April 2016
3123,,12-Mar-12,12-Jul-13,13-Jul-13,,2,487,THESE HAVE ALL BEEN ADDED - April 2016
3279,,21-Apr-14,17-Sep-14,17-Sep-14,,1,148,THESE HAVE ALL BEEN ADDED - April 2016
3302,,27-Aug-10,22-Apr-11,09-Nov-11,,201,438,THESE HAVE ALL BEEN ADDED - April 2016
3712,,13-Nov-10,30-Jan-11,06-Feb-11,10-Apr-11,7,146,THESE HAVE ALL BEEN ADDED - April 2016
3760,,01-May-10,13-Feb-11,,25-Apr-11,1,357,THESE HAVE ALL BEEN ADDED - April 2016
3821,,02-Sep-11,07-Jan-12,09-Apr-14,,823,949,THESE HAVE ALL BEEN ADDED - April 2016
3850,,18-Feb-09,26-Nov-09,,13-Jan-10,1,327,THESE HAVE ALL BEEN ADDED - April 2016
3893,,27-Aug-10,17-Mar-11,24-Apr-11,29-Apr-11,38,243,THESE HAVE ALL BEEN ADDED - April 2016
