EntanglementId,EGNo,EventNo,StartDate,EndDate,EntanglementComment
1,1004,1,07/10/1980,6/20/1987,"Adult female; > 3 year timeframe; MODERATE
"
2,3445,1,01/01/1900,08/07/2004,"Calf, female; < 1 year timeframe; MINOR"
3,3351,1,01/01/1900,08/12/2003,"Calf, male; < 1 year timeframe; MINOR"
4,3350,1,9/18/2003,8/29/2004,1 year old male; < 1 year timeframe; MINOR
5,3346,1,1/30/2004,3/17/2004,1 year old male; < 2 month timeframe. GEAR - may have been picked up in Maine so did RT from SE to ME and return; SEVERE
7,1039,1,3/21/1996,8/16/1997,17 year old female; < 2 year timeframe; MINOR
8,1032,1,10/11/1986,09/11/1987,Unknown age male; < 1 year time frame; MINOR
9,1032,2,08/03/1998,7/19/1999,Adult male; < 1 year timeframe; MINOR
10,1032,3,9/18/2003,09/02/2004,Adult male; < 1 year timeframe; MINOR
11,1019,1,10/13/1985,10/02/1987,Unknown age male; < 2 year time frame; MINOR
12,1019,2,10/02/1987,03/03/1995,Adult male; > 3 year time frame; MODERATE
13,1013,1,01/01/1900,3/15/1996,Adult female; unknown timeframe; MINOR
14,1012,1,01/01/1900,10/20/1978,Unknown age female; unknown timeframe; MINOR
16,3302,1,09/07/2003,03/06/2004,1 year old male; < 6 month timeframe; MODERATE
17,1036,1,01/01/1900,8/19/1982,"Adult, unknown sex; unknown timeframe; MODERATE"
18,1036,2,09/09/1992,3/23/2003,"Adult, unknown sex; > 3 year timeframe; MINOR"
19,1043,1,01/01/1900,8/24/1989,Adult male; unknown timeframe; MINOR
20,1048,1,01/01/1900,09/09/1986,Unknown age male; unknown timeframe; MINOR
21,1048,2,09/09/1986,8/19/1988,Adult male; < 2 year timeframe; MINOR
22,1050,1,8/30/1993,08/03/1994,Adult male; < 1 year timeframe; MINOR
23,1052,1,01/01/1900,05/10/1981,Unknown age male; unknown timeframe; MINOR
25,1077,1,01/01/1900,8/31/1988,"Adult, unknown sex; unknown timeframe; MINOR"
26,1103,1,9/27/1999,6/20/2000,Adult male; < 9 month timeframe; MINOR
27,1112,1,9/15/1987,8/23/1989,Adult male;< 2 year timeframe; MINOR
29,1121,1,9/26/1992,07/12/1997,Adult male; > 3 year time frame; MINOR
30,1122,1,9/23/1987,8/26/1991,Adult male; > 3 year timeframe; MINOR
31,1122,2,08/05/1995,8/14/1996,Adult male; < 13 month timeframe; MODERATE
32,1123,1,01/01/1900,8/20/1981,"Calf, female; < 1 year timeframe; MINOR
"
33,1123,2,09/03/1998,7/19/2001,20 year old female; < 3 year timeframe; MINOR
34,1131,1,01/01/1900,05/11/1979,Unknown age male; unknown timeframe; MINOR
