Date,BodyFatCode
1982-10-31T00:00:00Z,1
1983-04-28T00:00:00Z,2
1983-04-30T00:00:00Z,2
1983-05-07T00:00:00Z,2
1983-05-13T00:00:00Z,2
1983-06-10T00:00:00Z,NA
1983-09-25T00:00:00Z,1
1983-09-29T00:00:00Z,1
1983-09-30T00:00:00Z,1
1983-09-30T00:00:00Z,1
1974-05-02T00:00:00Z,NA
1977-03-28T00:00:00Z,NA
1977-04-11T00:00:00Z,NA
1980-04-16T00:00:00Z,2
1980-04-16T00:00:00Z,2
1980-04-17T00:00:00Z,2
1980-04-17T00:00:00Z,2
1980-04-17T00:00:00Z,2
1980-08-05T00:00:00Z,2
1980-08-13T00:00:00Z,2
1980-08-30T00:00:00Z,2
1980-09-08T00:00:00Z,2
1988-04-01T00:00:00Z,NA
1988-04-16T00:00:00Z,NA
1988-04-23T00:00:00Z,NA
1988-04-24T00:00:00Z,NA
1988-04-27T00:00:00Z,NA
1988-05-12T00:00:00Z,NA
1988-08-23T00:00:00Z,2
1988-08-31T00:00:00Z,2
1988-08-23T00:00:00Z,2
1989-03-31T00:00:00Z,NA
1990-03-08T00:00:00Z,1
1990-03-09T00:00:00Z,1
1990-12-11T00:00:00Z,NA
1991-01-14T00:00:00Z,NA
1991-03-26T00:00:00Z,NA
1991-03-26T00:00:00Z,NA
1991-04-07T00:00:00Z,NA
1995-03-04T00:00:00Z,NA
1995-03-11T00:00:00Z,NA
1995-03-13T00:00:00Z,NA
1995-04-03T00:00:00Z,NA
1996-03-01T00:00:00Z,1
1996-03-11T00:00:00Z,1
1996-03-13T00:00:00Z,1
1996-03-18T00:00:00Z,1
1996-03-25T00:00:00Z,1
1996-03-28T00:00:00Z,1
1996-04-09T00:00:00Z,1
1996-12-26T00:00:00Z,NA
1996-12-28T00:00:00Z,NA
1996-03-28T00:00:00Z,1
1996-04-09T00:00:00Z,1
1997-03-05T00:00:00Z,2
1997-03-20T00:00:00Z,2
1997-04-05T00:00:00Z,2
1998-02-28T00:00:00Z,NA
1998-01-04T00:00:00Z,NA
1998-01-04T00:00:00Z,NA
1998-02-03T00:00:00Z,NA
1999-04-20T00:00:00Z,3
1999-01-17T00:00:00Z,3
1999-03-03T00:00:00Z,3
1999-03-10T00:00:00Z,3
1999-03-14T00:00:00Z,3
1999-03-21T00:00:00Z,3
1999-04-06T00:00:00Z,3
1999-04-06T00:00:00Z,3
1999-04-15T00:00:00Z,3
1999-04-15T00:00:00Z,3
1999-04-21T00:00:00Z,3
